"filename", "language", "Properties", "JSON", "JavaScript", "JavaScript JSX", "CSS", "XML", "Markdown", "SCSS", "HTML", "comment", "blank", "total"
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\components\appointments\ManageAppointments.jsx", "JavaScript JSX", 0, 0, 0, 297, 0, 0, 0, 0, 0, 4, 24, 325
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\components\chat\ChatButton.jsx", "JavaScript JSX", 0, 0, 0, 56, 0, 0, 0, 0, 0, 2, 7, 65
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\components\chat\ChatComponent.jsx", "JavaScript JSX", 0, 0, 0, 143, 0, 0, 0, 0, 0, 13, 18, 174
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\components\commit\CommentManagement.jsx", "JavaScript JSX", 0, 0, 0, 194, 0, 0, 0, 0, 0, 69, 16, 279
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\components\commit\UserCommentComponent.jsx", "JavaScript JSX", 0, 0, 0, 137, 0, 0, 0, 0, 0, 59, 15, 211
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\components\editer\TextEditerComponent.jsx", "JavaScript JSX", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 8, 15
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\components\information\Information.jsx", "JavaScript JSX", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 4, 37
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\components\information\InformationManager.jsx", "JavaScript JSX", 0, 0, 0, 215, 0, 0, 0, 0, 0, 5, 28, 248
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\components\ps\PSButton.jsx", "JavaScript JSX", 0, 0, 0, 48, 0, 0, 0, 0, 0, 2, 7, 57
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\components\ps\PSComponent.jsx", "JavaScript JSX", 0, 0, 0, 135, 0, 0, 0, 0, 0, 33, 20, 188
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\components\ps\ps.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 8, 54
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\components\queue\QueueComponent.jsx", "JavaScript JSX", 0, 0, 0, 193, 0, 0, 0, 0, 0, 70, 30, 293
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\components\userAppointment\UserAppointmentComponent.jsx", "JavaScript JSX", 0, 0, 0, 300, 0, 0, 0, 0, 0, 10, 24, 334
